participant_number,test_date,child_id,response_id,response_uuid,age_range,rounded_age,age,gender,lan_spoken,by_plant,by_lamp,trial_1,trial_1_correct_answer,trial_1_response,trial_1_score,trial_2,trial_2_correct_answer,trial_2_response,trial_2_score,trial_3,trial_3_correct_answer,trial_3_response,trial_3_score,trial_4,trial_4_correct_answer,trial_4_response,trial_4_score,control_trial,control_trial_correct_answer,control_trial_response,control_trial_score,total_score,notes,exclude,exclude_reason,notes,include,race(will fill out later)
51,8/14/2023,Grannys_Gratitude_Stickers_20230814_1_Lookit_SZ,149505,58c271f4-3f08-45bd-931c-d5baa87ae229,1461-1826,1560,4.27,male,en he,benji,harry,andy_correct_right_emily,andy,emily,0,zoey_correct_left_taylor,zoey,the phone,1,leo_correct_right_sara,leo,sara,0,olivia_correct_left_mason,olivia,olivia,1,vicky_correct_left,vicky,vicky,1,2,,,,,,
52,8/14/2023,Grannys_Gratitude_Stickers_20230814_4_Lookit_SZ,149587,d047077c-f7c7-41f7-9933-f5d34e0b6a78,1461-1826,1800,4.93,female,en cmn,benji,harry,emily_correct_left_andy,emily,emily,1,sara_correct_left_leo,sara,sara,1,taylor_correct_right_zoey,taylor,taylor,1,mason_correct_right_olivia,mason,mason,1,michael_correct_left,michael,michael,1,4,because the phone might get a scratch; ice cream looks really yummy,,,,,
53,8/14/2023,Grannys_Gratitude_Stickers_20230814_7_Lookit_SZ,149699,a43a80ec-0745-4b9b-a245-1bf16a47391d,1461-1826,1500,4.11,male,en,benji,harry,mason_correct_right_olivia,mason,mason,1,taylor_correct_right_zoey,taylor,zoey,0,sara_correct_left_leo,sara,leo,0,emily_correct_left_andy,emily,andy,0,michael_correct_left,michael,michael,1,1,,,,,,
54,8/14/2023,Grannys_Gratitude_Stickers_20230814_10_Lookit_SZ,149762,8e1c976c-87af-49dd-a801-af972c4c9734,1461-1826,1710,4.68,female,en de,benji,harry,sara_correct_left_leo,sara,sara,1,taylor_correct_right_zoey,taylor,zoey,0,emily_correct_left_andy,emily,emily,1,mason_correct_right_olivia,mason,olivia,0,michael_correct_left,michael,michael,1,2,,,,,,
55,8/16/2023,Grannys_Gratitude_Stickers_20230816_2_Lookit_SZ,150108,e9d4ed8a-191b-474a-b5c9-1203e8a751dc,1461-1826,1620,4.44,male,en,benji,harry,mason_correct_right_olivia,mason,mason,1,taylor_correct_right_zoey,taylor,zoey,0,emily_correct_left_andy,emily,andy,0,sara_correct_left_leo,sara,sara,1,michael_correct_left,michael,michael,1,2,,,,,,
56,8/16/2023,Grannys_Gratitude_Stickers_20230816_4_Lookit_SZ,150155,54b44ef6-edad-4238-91d2-8db0cc33e539,1461-1826,1800,4.93,female,en,benji,harry,olivia_correct_right_mason,olivia,sunscreen,0,zoey_correct_right_taylor,zoey,zoey,1,leo_correct_left_sara,leo,leo,1,andy_correct_left_emily,andy,emily,0,michael_correct_left,michael,michael,1,2,,,,,,
57,8/16/2023,Grannys_Gratitude_Stickers_20230816_5_Lookit_SZ,150161,d5a54e65-efd7-40a7-aa51-402843937011,1461-1826,1650,4.52,male,en,benji,harry,sara_correct_right_leo,sara,sara,1,emily_correct_right_andy,emily,emily,1,mason_correct_left_olivia,mason,mason,1,taylor_correct_left_zoey,taylor,taylor,1,michael_correct_left,michael,michael,1,4,,,,,,
58,8/16/2023,Grannys_Gratitude_Stickers_20230816_7_Lookit_SZ,150436,6cecd444-7563-4f2a-b3f5-6e11bcefa94a,1461-1826,1800,4.93,male,en,benji,harry,taylor_correct_left_zoey,taylor,taylor,1,emily_correct_right_andy,emily,emily,1,mason_correct_left_olivia,mason,olivia,0,sara_correct_right_leo,sara,sara,1,vicky_correct_left,vicky,vicky,1,3,,,,,,
59,8/16/2023,Grannys_Gratitude_Stickers_20230816_8_Lookit_SZ,150490,072ef2eb-0483-4fe5-bd48-9b1309bede61,1461-1826,1680,4.60,female,en,benji,harry,taylor_correct_right_zoey,taylor,taylor,1,sara_correct_left_leo,sara,sara,1,mason_correct_right_olivia,mason,olivia,0,emily_correct_left_andy,emily,emily,1,michael_correct_left,michael,michael,1,3,,,,,,
60,8/17/2023,Grannys_Gratitude_Stickers_20230817_4_Lookit_SZ,150588,a8c5df16-d701-46c2-a330-8cceb37bf1f3,1461-1826,1770,4.85,male,unknown,benji,harry,andy_correct_left_emily,andy,egg,1,olivia_correct_right_mason,olivia,olivia,1,leo_correct_left_sara,leo,leo,1,zoey_correct_right_taylor,zoey,zoey,1,michael_correct_left,michael,michael,1,4,,,,,,
